name,lat,lng,priority,type
"El Paso",31.7586111,-106.4863889,1,2
"Fort Worth",32.7252778,-97.3205556,3,2
"San Antonio",29.4238889,-98.4933333,3,2
"Seattle",47.6063889,-122.3308333,1,2
"Milwaukee",43.0388889,-87.9063889,1,2
"Barquisimeto",10.0738889,-69.3227778,3,2
"Ciudad Guayana",8.3533333,-62.6527778,2,2
"Maracaibo",10.6316667,-71.6405556,1,2
"Valencia",10.1805556,-68.0038889,2,2
"Hai Phong",20.856111,106.682222,3,2
"Aden",12.7794444,45.0366667,3,2
"Benoni",-26.190851,28.311338,3,2
"Pietermaritzburg",-29.616785,30.39278,3,2
"Port Elizabeth",-33.917988,25.570066,3,2
"Pretoria",-25.706944,28.229444,3,2
"Soweto",-26.267812,27.858492,3,2
"Tembisa",-25.996363,28.226802,3,2
"Bulawayo",-20.15,28.5833333,3,2
"Hargeisa",9.55,44.050000,3,1
"King Edward Point",-54.283333,-36.500000,3,1
"Port-aux-FranÃƒÂ§ais",-49.35,70.216667,3,1
"Jerusalem",31.766666666666666,35.233333,4,1
"Mariehamn",60.116667,19.900000,3,1
"Yaren",-0.5477,166.920867,7,1
"Marigot",18.0731,-63.082200,4,1
"Atafu",-9.166667,-171.833333,4,1
"El Aaiún (العيون)",27.153611,-13.203333,3,1
"Kabul",34.516666666666666,69.183333,3,1
"Tirana",41.31666666666667,19.816667,4,1
"Pago Pago",-14.266666666666667,-170.700000,6,1
"Andorra la Vella",42.5,1.516667,6,1
"Luanda",-8.833333333333334,13.216667,3,1
"The Valley",18.216666666666665,-63.050000,8,1
"Saint John's",17.116666666666667,-61.850000,6,1
"Buenos Aires",-34.583333333333336,-58.666667,2,1
"Yerevan",40.166666666666664,44.500000,3,1
"Oranjestad",12.516666666666667,-70.033333,7,1
"Canberra",-35.266666666666666,149.133333,2,1
"Vienna",48.2,16.366667,3,1
"Baku",40.38333333333333,49.866667,3,1
"Nassau",25.083333333333332,-77.350000,5,1
"Manama",26.233333333333334,50.566667,3,1
"Dhaka",23.716666666666665,90.400000,3,1
"Bridgetown",13.1,-59.616667,5,1
"Minsk",53.9,27.566667,3,1
"Brussels",50.833333333333336,4.333333,3,1
"Belmopan",17.25,-88.766667,3,1
"Porto-Novo",6.483333333333333,2.616667,3,1
"Hamilton",32.28333333333333,-64.783333,8,1
"Thimphu",27.466666666666665,89.633333,5,1
"La Paz",-16.5,-68.150000,2,1
"Sarajevo",43.86666666666667,18.416667,5,1
"Gaborone",-24.633333333333333,25.900000,3,1
"Brasilia",-15.783333333333333,-47.916667,2,1
"Road Town",18.416666666666668,-64.616667,8,1
"Bandar Seri Begawan",4.883333333333333,114.933333,3,1
