id,origin,destination,count,origLat,origLon,destLat,destLon
189,Montenegro,Albania,0,42.43544,19.26391,41.32233,19.82516
190,Bosnia and Herzegovina,Albania,0,43.85943,18.43577,41.32233,19.82516
191,Croatia,Albania,0,45.80724,15.96758,41.32233,19.82516
192,Slovenia,Albania,0,46.05063,14.50283,41.32233,19.82516
193,Slovakia,Albania,0,48.14926,17.10699,41.32233,19.82516
194,Bulgaria,Albania,0,42.69719,23.32431,41.32233,19.82516
195,Romania,Albania,0,44.4343,26.10298,41.32233,19.82516
196,Czech Republic,Albania,0,50.07913,14.43303,41.32233,19.82516
197,Austria,Albania,0,48.20255,16.3688,41.32233,19.82516
198,United Kingdom,Albania,0,51.50643,-0.12721,41.32233,19.82516
199,France,Albania,0,48.85693,2.3412,41.32233,19.82516
200,Finland,Albania,0,60.17116,24.93266,41.32233,19.82516
201,Sweden,Albania,0,59.33233,18.06293,41.32233,19.82516
202,Denmark,Albania,0,55.67567,12.56756,41.32233,19.82516
203,Norway,Albania,0,59.9123,10.75,41.32233,19.82516
204,Spain,Albania,0,40.42028,-3.70578,41.32233,19.82516
205,Poland,Albania,0,52.23558,21.01027,41.32233,19.82516
206,Lithuania,Albania,0,54.69063,25.26981,41.32233,19.82516
207,Latvia,Albania,0,56.94599,24.11487,41.32233,19.82516
208,Estonia,Albania,0,59.43641,24.75254,41.32233,19.82516
209,Russia,Albania,0,55.75697,37.61502,41.32233,19.82516
210,Ukraine,Albania,0,50.45057,30.52428,41.32233,19.82516
211,Syria,Montenegro,0,33.4993,36.30132,42.43544,19.26391
212,Jordan,Montenegro,0,31.95181,35.94042,42.43544,19.26391
213,Lebanon,Montenegro,0,33.89607,35.50678,42.43544,19.26391
214,Turkey,Montenegro,0,39.92109,32.85399,42.43544,19.26391
215,Egypt,Montenegro,0,30.04992,31.2486,42.43544,19.26391
217,Hungary,Montenegro,0,47.49973,19.05508,42.43544,19.26391
220,Bosnia and Herzegovina,Montenegro,0,43.85943,18.43577,42.43544,19.26391
221,Croatia,Montenegro,0,45.80724,15.96758,42.43544,19.26391
222,Slovenia,Montenegro,0,46.05063,14.50283,42.43544,19.26391
223,Slovakia,Montenegro,0,48.14926,17.10699,42.43544,19.26391
224,Bulgaria,Montenegro,0,42.69719,23.32431,42.43544,19.26391
225,Romania,Montenegro,0,44.4343,26.10298,42.43544,19.26391
226,Czech Republic,Montenegro,0,50.07913,14.43303,42.43544,19.26391
227,Austria,Montenegro,0,48.20255,16.3688,42.43544,19.26391
228,United Kingdom,Montenegro,0,51.50643,-0.12721,42.43544,19.26391
229,France,Montenegro,0,48.85693,2.3412,42.43544,19.26391
230,Finland,Montenegro,0,60.17116,24.93266,42.43544,19.26391
231,Sweden,Montenegro,0,59.33233,18.06293,42.43544,19.26391
232,Denmark,Montenegro,0,55.67567,12.56756,42.43544,19.26391
233,Norway,Montenegro,0,59.9123,10.75,42.43544,19.26391
234,Spain,Montenegro,0,40.42028,-3.70578,42.43544,19.26391
235,Poland,Montenegro,0,52.23558,21.01027,42.43544,19.26391
236,Lithuania,Montenegro,0,54.69063,25.26981,42.43544,19.26391
237,Latvia,Montenegro,0,56.94599,24.11487,42.43544,19.26391
238,Estonia,Montenegro,0,59.43641,24.75254,42.43544,19.26391
239,Russia,Montenegro,0,55.75697,37.61502,42.43544,19.26391
240,Ukraine,Montenegro,0,50.45057,30.52428,42.43544,19.26391
241,Syria,Bosnia and Herzegovina,0,33.4993,36.30132,43.85943,18.43577
242,Jordan,Bosnia and Herzegovina,0,31.95181,35.94042,43.85943,18.43577
243,Lebanon,Bosnia and Herzegovina,0,33.89607,35.50678,43.85943,18.43577
245,Egypt,Bosnia and Herzegovina,0,30.04992,31.2486,43.85943,18.43577
246,Greece,Bosnia and Herzegovina,0,37.97613,23.73643,43.85943,18.43577
247,Hungary,Bosnia and Herzegovina,0,47.49973,19.05508,43.85943,18.43577
248,Albania,Bosnia and Herzegovina,0,41.32233,19.82516,43.85943,18.43577
249,Montenegro,Bosnia and Herzegovina,0,42.43544,19.26391,43.85943,18.43577
250,Bosnia and Herzegovina,Bosnia and Herzegovina,0,43.85943,18.43577,43.85943,18.43577
252,Slovenia,Bosnia and Herzegovina,0,46.05063,14.50283,43.85943,18.43577
253,Slovakia,Bosnia and Herzegovina,0,48.14926,17.10699,43.85943,18.43577
254,Bulgaria,Bosnia and Herzegovina,0,42.69719,23.32431,43.85943,18.43577
258,United Kingdom,Bosnia and Herzegovina,0,51.50643,-0.12721,43.85943,18.43577
259,France,Bosnia and Herzegovina,0,48.85693,2.3412,43.85943,18.43577
260,Finland,Bosnia and Herzegovina,0,60.17116,24.93266,43.85943,18.43577
261,Sweden,Bosnia and Herzegovina,0,59.33233,18.06293,43.85943,18.43577
262,Denmark,Bosnia and Herzegovina,0,55.67567,12.56756,43.85943,18.43577
263,Norway,Bosnia and Herzegovina,0,59.9123,10.75,43.85943,18.43577
264,Spain,Bosnia and Herzegovina,0,40.42028,-3.70578,43.85943,18.43577
265,Poland,Bosnia and Herzegovina,0,52.23558,21.01027,43.85943,18.43577
266,Lithuania,Bosnia and Herzegovina,0,54.69063,25.26981,43.85943,18.43577
267,Latvia,Bosnia and Herzegovina,0,56.94599,24.11487,43.85943,18.43577
268,Estonia,Bosnia and Herzegovina,0,59.43641,24.75254,43.85943,18.43577
269,Russia,Bosnia and Herzegovina,0,55.75697,37.61502,43.85943,18.43577
270,Ukraine,Bosnia and Herzegovina,0,50.45057,30.52428,43.85943,18.43577
271,Syria,Croatia,0,33.4993,36.30132,45.80724,15.96758
272,Jordan,Croatia,0,31.95181,35.94042,45.80724,15.96758
275,Egypt,Croatia,0,30.04992,31.2486,45.80724,15.96758
277,Hungary,Croatia,0,47.49973,19.05508,45.80724,15.96758
278,Albania,Croatia,0,41.32233,19.82516,45.80724,15.96758
279,Montenegro,Croatia,0,42.43544,19.26391,45.80724,15.96758
283,Slovakia,Croatia,0,48.14926,17.10699,45.80724,15.96758
284,Bulgaria,Croatia,0,42.69719,23.32431,45.80724,15.96758
285,Romania,Croatia,0,44.4343,26.10298,45.80724,15.96758
286,Czech Republic,Croatia,0,50.07913,14.43303,45.80724,15.96758
287,Austria,Croatia,0,48.20255,16.3688,45.80724,15.96758
288,United Kingdom,Croatia,0,51.50643,-0.12721,45.80724,15.96758
290,Finland,Croatia,0,60.17116,24.93266,45.80724,15.96758
291,Sweden,Croatia,0,59.33233,18.06293,45.80724,15.96758
292,Denmark,Croatia,0,55.67567,12.56756,45.80724,15.96758
293,Norway,Croatia,0,59.9123,10.75,45.80724,15.96758
